id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
1,Jaqueline Barela Nazario,41.0,F,Arequipa,Paucarpata,2022-03-20,Tienda Física,Ocasional
2,Flavio Renato Corrales Zamudio,42.0,M,Trujillo,Mansiche,2020-05-16,Web,Nuevo
3,Srita. Camila Caraballo,35.0,F,Lima,Jesus María,2021-12-30,Web,Regular
4,Omar Carlos Beltrán Olivárez,24.0,M,Cusco,Santiago,2021-11-29,App,Regular
5,Rocío Gabriela Carvajal Montero,18.0,F,Lima,San Miguel,2021-12-17,Tienda Física,Regular
6,Pablo Casárez,39.0,M,Trujillo,La Merced,2021-08-21,Web,Regular
7,Lic. Emilia Muñoz,41.0,F,Lima,Barranco,2020-04-03,Tienda Física,Nuevo
8,Paola Montaño,35.0,F,Arequipa,Cayma,2020-05-26,,Nuevo
9,Andrea Brito Saldaña,18.0,F,Trujillo,Vista Alegre,2021-11-15,Tienda Física,Regular
10,Guillermo Francisco Javier de la Garza Meléndez,31.0,M,Trujillo,Mansiche,2020-01-18,Web,Premium
11,Patricio Valenzuela,32.0,M,Lima,Barranco,2022-02-14,Tienda Física,Ocasional
12,Javier Oswaldo Padrón Martínez,34.0,M,Lima,Miraflores,2020-02-19,Tienda Física,Nuevo
13,Daniela María del Carmen Garay,30.0,F,Lima,La Molina,2021-06-04,Tienda Física,Regular
14,Irene Leticia Villanueva Olivárez,44.0,F,Lima,Magdalena,2021-08-07,Tienda Física,Ocasional
15,Cecilia Magdalena Valverde,30.0,F,Arequipa,Cayma,2021-03-01,Tienda Física,Regular
16,Lucía Estela Méndez,36.0,F,Trujillo,Centro,2020-05-22,App,Regular
17,Jaime Jáquez Rael,51.0,M,Lima,Jesus María,2021-11-30,Web,Nuevo
18,Diego Ricardo Jasso González,34.0,M,Lima,San Isidro,2022-03-23,Tienda Física,Regular
19,Carmen Noemí Castañeda Jasso,46.0,F,Arequipa,Cayma,2021-03-28,Web,Regular
20,Olivia María Cristina Pacheco Pabón,67.0,F,Trujillo,Mansiche,2021-07-21,Web,Premium
21,Nayeli Mendoza Parra,51.0,F,Lima,Miraflores,2020-10-24,Tienda Física,Regular
22,Bernardo Oswaldo Treviño Sierra,29.0,M,Piura,Miraflores,2022-03-12,Web,Ocasional
23,Manuel José Menéndez,50.0,M,Arequipa,Cercado,2022-01-14,App,Premium
24,Leonel Delgadillo Alarcón,50.0,M,Piura,Castilla,2022-08-23,Web,Premium
25,Rolando Gilberto Cedillo Mesa,31.0,M,Arequipa,Cayma,2021-02-22,Web,Ocasional
26,Lic. Nicolás Rosas,24.0,M,Arequipa,Cerro Colorado,2020-01-17,Tienda Física,Ocasional
27,Adriana Alta  Gracia Garay Casárez,31.0,F,Lima,La Molina,2021-02-06,Tienda Física,Regular
28,Helena Aida Fuentes Reyna,46.0,F,Lima,Miraflores,2021-11-05,Web,Nuevo
29,Ing. Zacarías Negrón,36.0,M,Lima,Pueblo Libre,2021-09-14,Tienda Física,Regular
30,Rodrigo Escobedo Tijerina,41.0,M,Lima,La Molina,2020-06-29,Web,Regular
31,Ariadna Cortés Mendoza,49.0,F,Arequipa,Yanahuara,2022-06-07,Web,Premium
32,María del Carmen Delia Zelaya,18.0,F,Lima,Barranco,2020-08-09,Tienda Física,Premium
33,Virginia Gloria Bravo,35.0,F,Lima,Magdalena,2022-04-08,Tienda Física,Nuevo
34,Ing. Yeni Solorio,45.0,F,Arequipa,Yanahuara,2022-06-10,Tienda Física,Ocasional
35,Lic. Carla Cardenas,47.0,F,Cusco,Wanchaq,2021-08-07,App,Nuevo
36,Estela Perea Armendáriz,29.0,F,Arequipa,Yanahuara,2021-01-12,Tienda Física,Nuevo
37,Nayeli Micaela Godoy,34.0,F,Cusco,San Jerónimo,2021-10-19,Tienda Física,Nuevo
38,Sofía Mondragón,33.0,F,Piura,Sullana,2020-11-24,Web,Ocasional
39,Jorge Luis Jaime Zepeda Rosado,48.0,M,Lima,Barranco,2020-03-13,Tienda Física,Nuevo
40,Óscar Jerónimo Henríquez Arce,43.0,M,Cusco,Cercado,2021-07-25,App,Regular
41,Daniel Alonzo,21.0,M,Lima,Barranco,2022-04-04,Tienda Física,Ocasional
42,Itzel Hernandes,36.0,F,Lima,Miraflores,2021-09-26,Tienda Física,Regular
43,Federico Nazario,47.0,M,Trujillo,El Recreo,2021-09-30,Tienda Física,Ocasional
44,Micaela Laura Maestas Gamez,23.0,F,Lima,Pueblo Libre,2020-11-16,Tienda Física,Premium
45,Sra. Lilia Barragán,25.0,F,Piura,Miraflores,2021-01-02,Tienda Física,Premium
46,Ing. Óliver Bustamante,53.0,M,Piura,Sullana,2020-04-05,Tienda Física,Ocasional
47,Lic. Perla Meléndez,47.0,F,Lima,Lince,2021-06-10,App,Ocasional
48,Guadalupe Mojica,38.0,F,Lima,San Isidro,2020-11-14,App,Ocasional
49,Cristal Ángela Valenzuela Delgado,39.0,F,Cusco,San Jerónimo,2022-09-30,Tienda Física,Regular
50,Raúl Ramiro Olivera Caraballo,47.0,M,Lima,La Molina,2022-05-12,App,Regular
51,Srita. Alicia Rivas,51.0,F,Arequipa,Cayma,2020-08-15,Web,Nuevo
52,Diana Lourdes Sauceda,34.0,F,Arequipa,Cercado,2021-06-18,Web,Regular
53,Dr. Porfirio Galarza,34.0,M,Lima,Surco,2021-05-20,App,Premium
54,Óscar Daniel Valdivia Melgar,47.0,M,Arequipa,Yanahuara,2022-11-07,App,Nuevo
55,Silvia Karina Tejada Tirado,42.0,F,Arequipa,Yanahuara,2021-01-29,App,Ocasional
56,Catalina Rebeca Ureña,34.0,F,Trujillo,El Recreo,2022-04-03,Tienda Física,Ocasional
57,Carmen Caridad Vega,36.0,F,Arequipa,Cercado,2020-05-10,App,Premium
58,Sonia Aragón León,50.0,F,Lima,Lince,2021-11-07,App,Regular
59,Ernesto Darío Jaramillo Toledo,45.0,M,Lima,Pueblo Libre,2021-09-27,Tienda Física,Ocasional
60,Cristian Maximiliano de la Garza Escobar,46.0,M,Lima,La Molina,2022-09-05,Web,Nuevo
61,Esteban Corrales Pedraza,44.0,M,Cusco,San Jerónimo,2022-04-13,Tienda Física,Regular
62,Lic. Ricardo Anaya,28.0,M,Arequipa,Cerro Colorado,2021-05-29,Tienda Física,Regular
63,Dulce María Micaela Narváez Torres,47.0,F,Lima,San Miguel,2020-08-31,Tienda Física,Ocasional
64,Miguel Ángel Palomo Correa,51.0,M,Lima,Surco,2020-12-28,App,Regular
65,Carolina Yeni Sauceda Arevalo,23.0,F,Trujillo,El Recreo,2021-12-27,Tienda Física,Regular
66,Abril Baeza,38.0,F,Lima,Surco,2021-10-19,Tienda Física,Nuevo
67,José Villa Hinojosa,60.0,M,Trujillo,Vista Alegre,2022-05-20,Web,Ocasional
68,Alicia Citlali Santacruz Espino,22.0,F,Arequipa,Paucarpata,2021-06-09,Tienda Física,Regular
69,Lorena Prieto Feliciano,20.0,F,Lima,Surco,2021-10-30,Tienda Física,Nuevo
70,Gerardo Francisco Javier Saldaña,48.0,M,Arequipa,Cayma,2021-03-18,Tienda Física,Nuevo
71,José Manuél Eloy Tello,33.0,M,Piura,Sullana,2020-01-09,Tienda Física,Premium
72,Yuridia Piña,58.0,F,Arequipa,Paucarpata,2020-11-11,Web,Regular
73,José Eduardo Fuentes,35.0,M,Lima,Miraflores,2020-11-19,Tienda Física,Ocasional
74,Mario Rolando Zepeda Rosario,40.0,M,Arequipa,Yanahuara,2022-07-18,Tienda Física,Regular
75,Dolores Estévez Carrillo,23.0,F,Lima,Miraflores,2021-12-20,Tienda Física,Nuevo
76,Irma Cotto Carrero,52.0,F,Lima,Pueblo Libre,2020-04-13,Tienda Física,Premium
77,Delia Sara Prieto,18.0,F,Lima,Surco,2022-11-12,Web,Premium
78,Marco Antonio Aldo Trujillo,19.0,M,Lima,Miraflores,2020-10-07,App,Regular
79,Gustavo Hugo Nava,52.0,M,Piura,Sullana,2021-04-09,Web,Regular
80,Abraham Romero,34.0,M,Arequipa,Yanahuara,2021-11-29,App,Regular
81,Lic. Héctor Moreno,38.0,M,Lima,Pueblo Libre,2022-11-17,Web,Nuevo
82,Darío Cardenas,58.0,M,Arequipa,Yanahuara,2021-01-18,Tienda Física,Ocasional
83,Noemí Dulce María Muñoz,18.0,F,Lima,Jesus María,2022-12-28,Web,Ocasional
84,Josefina Villaseñor,39.0,F,Lima,Surco,2021-10-26,Tienda Física,Regular
85,Victoria Valencia Mena,39.0,F,Lima,Barranco,2020-08-06,Tienda Física,Nuevo
86,Aurelio Miguel Rocha Montemayor,39.0,M,Lima,Barranco,2020-07-14,Tienda Física,Ocasional
87,Lic. Mónica Calvillo,31.0,F,Lima,Miraflores,2022-06-23,App,Nuevo
88,Francisca Alta  Gracia Blanco Villanueva,21.0,F,Lima,Miraflores,2022-01-31,App,Ocasional
89,Armando Suárez Regalado,21.0,M,Lima,Miraflores,2021-08-09,Tienda Física,Ocasional
90,Sr. Juan Carlos Velasco,36.0,M,Lima,Pueblo Libre,2020-06-23,Tienda Física,Regular
91,Rocío Roque,18.0,F,Cusco,San Jerónimo,2022-04-25,Tienda Física,Regular
92,Sr. Elias Matos,43.0,M,Arequipa,Cercado,2020-03-02,Tienda Física,Regular
93,Alberto Camilo Orosco,34.0,M,Lima,Barranco,2022-04-22,Tienda Física,Nuevo
94,Claudia Téllez Herrera,38.0,F,Trujillo,Centro,2021-04-28,App,Ocasional
95,Amanda Batista Zarate,43.0,F,Arequipa,Yanahuara,2022-02-13,App,Nuevo
96,Sra. Hilda Corral,31.0,F,Lima,Jesus María,2020-08-29,Web,Regular
